# t, p_bottom, p_top, mob_A, imm_A, diss_A, seal_A, mob_B, imm_B, diss_B, seal_B, mob_C, imm_C, diss_C, seal_C, M_C 
1.110000e+05, 1.098451e+05, 1.039696e+05, 1.573266e-03, 8.834634e-04, 2.455273e-03, 8.559319e-04, 1.765218e-05, 6.801075e-05, 3.964426e-04, 2.589555e-32, 4.482408e-04, 4.429341e-04, 1.448735e-03, 1.945794e-06, 0.000000e+00   
1.116000e+05, 1.098456e+05, 1.039699e+05, 1.594740e-03, 8.883569e-04, 2.463835e-03, 8.660480e-04, 1.900549e-05, 8.204507e-05, 4.902209e-04, 3.295338e-29, 4.649180e-04, 4.457162e-04, 1.450568e-03, 1.945789e-06, 0.000000e+00   
1.122000e+05, 1.098481e+05, 1.039718e+05, 1.614065e-03, 8.926571e-04, 2.470851e-03, 8.764120e-04, 2.901288e-05, 1.112364e-04, 5.692730e-04, 1.571683e-23, 4.797592e-04, 4.482176e-04, 1.452096e-03, 1.945785e-06, 0.000000e+00   
1.128000e+05, 1.098438e+05, 1.039686e+05, 1.630827e-03, 8.954255e-04, 2.475963e-03, 8.846840e-04, 4.094460e-05, 1.319381e-04, 6.625764e-04, 1.984002e-21, 4.929968e-04, 4.503977e-04, 1.453421e-03, 1.945780e-06, 0.000000e+00   
1.134000e+05, 1.098443e+05, 1.039689e+05, 1.644457e-03, 8.978657e-04, 2.479732e-03, 8.910449e-04, 4.165689e-05, 1.543914e-04, 7.731186e-04, 2.937930e-18, 5.036282e-04, 4.521564e-04, 1.454724e-03, 1.945777e-06, 0.000000e+00   
1.140000e+05, 1.098441e+05, 1.039688e+05, 1.655395e-03, 8.997712e-04, 2.483019e-03, 8.963373e-04, 4.480138e-05, 1.787198e-04, 8.845246e-04, 1.364386e-14, 5.120978e-04, 4.535501e-04, 1.455894e-03, 1.945774e-06, 0.000000e+00   
1.146000e+05, 1.098445e+05, 1.039690e+05, 1.664477e-03, 9.014168e-04, 2.486231e-03, 9.012111e-04, 4.947046e-05, 2.061389e-04, 9.952049e-04, 3.314349e-13, 5.191036e-04, 4.547107e-04, 1.456935e-03, 1.945771e-06, 0.000000e+00   
1.152000e+05, 1.098436e+05, 1.039683e+05, 1.671901e-03, 9.026518e-04, 2.489176e-03, 9.054162e-04, 5.451092e-05, 2.365568e-04, 1.106836e-03, 3.908503e-12, 5.248004e-04, 4.556429e-04, 1.457866e-03, 1.945770e-06, 0.000000e+00   
1.158000e+05, 1.098437e+05, 1.039683e+05, 1.677673e-03, 9.036283e-04, 2.491817e-03, 9.090021e-04, 6.306439e-05, 2.647590e-04, 1.219731e-03, 2.538546e-10, 5.291194e-04, 4.563495e-04, 1.458755e-03, 1.945773e-06, 0.000000e+00   
1.164000e+05, 1.098438e+05, 1.039684e+05, 1.682296e-03, 9.043640e-04, 2.494001e-03, 9.118653e-04, 6.531828e-05, 2.935644e-04, 1.341398e-03, 4.525372e-07, 5.325346e-04, 4.569084e-04, 1.459567e-03, 1.945778e-06, 0.000000e+00   
1.170000e+05, 1.098428e+05, 1.039677e+05, 1.686022e-03, 9.049465e-04, 2.496020e-03, 9.144104e-04, 6.886559e-05, 3.206741e-04, 1.465335e-03, 4.054759e-06, 5.352268e-04, 4.573433e-04, 1.460340e-03, 1.945785e-06, 0.000000e+00   
